Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037482202,"Census Tract 4822.02, Los Angeles County, California",4385,2381,2342,1641,483,56,6,0,156,31.2,56964,79074
1400000US06037482301,"Census Tract 4823.01, Los Angeles County, California",4700,2174,2655,1877,488,35,40,24,191,29.7,56250,73225
1400000US06037482303,"Census Tract 4823.03, Los Angeles County, California",4584,2316,2483,2018,292,31,39,43,60,27.9,52344,68174
1400000US06037482304,"Census Tract 4823.04, Los Angeles County, California",2508,1313,1410,1006,134,104,0,95,71,29.1,41314,49611
1400000US06037482401,"Census Tract 4824.01, Los Angeles County, California",2892,1465,1658,1229,248,8,12,86,75,26.5,50230,68622
1400000US06037482403,"Census Tract 4824.03, Los Angeles County, California",2840,1440,1499,1114,203,89,23,16,54,28.4,39583,45772
1400000US06037482404,"Census Tract 4824.04, Los Angeles County, California",3087,1468,1694,1495,50,45,91,13,0,30.3,72688,86390
1400000US06037482502,"Census Tract 4825.02, Los Angeles County, California",2729,1406,1557,1301,125,21,16,25,69,28.1,55250,76908
1400000US06037482503,"Census Tract 4825.03, Los Angeles County, California",3458,1817,1944,1553,197,20,50,34,90,29.9,67566,82281
1400000US06037482521,"Census Tract 4825.21, Los Angeles County, California",4672,2526,2591,2109,245,37,0,33,167,29.6,64500,79235
1400000US06037482522,"Census Tract 4825.22, Los Angeles County, California",3763,1870,2259,1639,369,110,12,38,91,34.6,64281,83054
1400000US06037482600,"Census Tract 4826, Los Angeles County, California",5614,2790,3068,2644,154,28,0,12,230,27.7,76894,114881
1400000US06037482701,"Census Tract 4827.01, Los Angeles County, California",3447,1910,2064,1519,169,100,27,40,209,36,71438,82093
1400000US06037482702,"Census Tract 4827.02, Los Angeles County, California",2012,1134,1184,984,81,25,0,0,94,32.4,96484,110456
